timestamp,sensor_id,temperature,humidity,co2_level,location
2025-09-01 00:00:00,ROOM_101,20.69,53.73,552.0,Building A - Floor 1 - Room 101
2025-09-01 00:15:00,ROOM_102,20.37,50.66,586.0,Building A - Floor 1 - Room 102
2025-09-01 00:30:00,CONF_ROOM,20.76,46.1,529.0,Building A - Floor 2 - Conference Room
2025-09-01 00:45:00,LOBBY,21.2,53.68,555.0,Building B - Floor 1 - Lobby
2025-09-01 01:00:00,ROOM_101,20.61,50.85,,Building A - Floor 1 - Room 101
2025-09-01 01:15:00,ROOM_102,20.61,47.52,592.0,Building A - Floor 1 - Room 102
2025-09-01 01:30:00,CONF_ROOM,21.52,48.37,486.0,Building A - Floor 2 - Conference Room
2025-09-01 01:45:00,LOBBY,21.11,47.56,610.0,Building B - Floor 1 - Lobby
2025-09-01 02:00:00,ROOM_101,20.87,60.0,517.0,Building A - Floor 1 - Room 101
2025-09-01 02:15:00,ROOM_102,21.37,56.51,448.0,Building A - Floor 1 - Room 102
2025-09-01 02:30:00,CONF_ROOM,20.87,53.73,526.0,Building A - Floor 2 - Conference Room
2025-09-01 02:45:00,LOBBY,20.87,60.0,485.0,Building B - Floor 1 - Lobby
2025-09-01 03:00:00,ROOM_101,21.66,51.52,562.0,Building A - Floor 1 - Room 101
2025-09-01 03:15:00,ROOM_102,20.58,50.43,487.0,Building A - Floor 1 - Room 102
2025-09-01 03:30:00,CONF_ROOM,20.67,60.0,497.0,Building A - Floor 2 - Conference Room
2025-09-01 03:45:00,LOBBY,21.25,55.19,425.0,Building B - Floor 1 - Lobby
2025-09-01 04:00:00,ROOM_101,21.49,46.51,497.0,Building A - Floor 1 - Room 101
2025-09-01 04:15:00,ROOM_102,22.16,48.51,400.0,Building A - Floor 1 - Room 102
2025-09-01 04:30:00,CONF_ROOM,21.55,47.12,440.0,Building A - Floor 2 - Conference Room
2025-09-01 04:45:00,LOBBY,21.29,45.45,558.0,Building B - Floor 1 - Lobby
2025-09-01 05:00:00,ROOM_101,23.2,50.63,559.0,Building A - Floor 1 - Room 101
2025-09-01 05:15:00,ROOM_102,22.35,58.38,541.0,Building A - Floor 1 - Room 102
2025-09-01 05:30:00,CONF_ROOM,22.5,41.34,471.0,Building A - Floor 2 - Conference Room
2025-09-01 05:45:00,LOBBY,21.75,53.65,517.0,Building B - Floor 1 - Lobby
2025-09-01 06:00:00,ROOM_101,22.63,44.65,519.0,Building A - Floor 1 - Room 101
2025-09-01 06:15:00,ROOM_102,22.96,44.36,462.0,Building A - Floor 1 - Room 102
2025-09-01 06:30:00,CONF_ROOM,22.32,45.97,595.0,Building A - Floor 2 - Conference Room
2025-09-01 06:45:00,LOBBY,23.09,42.05,,Building B - Floor 1 - Lobby
2025-09-01 07:00:00,ROOM_101,22.97,47.01,508.0,Building A - Floor 1 - Room 101
2025-09-01 07:15:00,ROOM_102,23.13,42.08,521.0,Building A - Floor 1 - Room 102
2025-09-01 07:30:00,CONF_ROOM,22.97,48.12,530.0,Building A - Floor 2 - Conference Room
2025-09-01 07:45:00,LOBBY,24.2,42.42,417.0,Building B - Floor 1 - Lobby
2025-09-01 08:00:00,ROOM_101,23.55,43.64,747.0,Building A - Floor 1 - Room 101
2025-09-01 08:15:00,ROOM_102,23.03,42.03,725.0,Building A - Floor 1 - Room 102
2025-09-01 08:30:00,CONF_ROOM,23.97,40.55,709.0,Building A - Floor 2 - Conference Room
2025-09-01 08:45:00,LOBBY,22.95,50.61,745.0,Building B - Floor 1 - Lobby
2025-09-01 09:00:00,ROOM_101,23.84,46.37,849.0,Building A - Floor 1 - Room 101
2025-09-01 09:15:00,ROOM_102,22.76,42.58,792.0,Building A - Floor 1 - Room 102
2025-09-01 09:30:00,CONF_ROOM,23.07,,731.0,Building A - Floor 2 - Conference Room
2025-09-01 09:45:00,LOBBY,23.84,47.62,788.0,Building B - Floor 1 - Lobby
2025-09-01 10:00:00,ROOM_101,24.17,40.0,829.0,Building A - Floor 1 - Room 101
2025-09-01 10:15:00,ROOM_102,23.89,46.42,806.0,Building A - Floor 1 - Room 102
2025-09-01 10:30:00,CONF_ROOM,23.74,40.89,762.0,Building A - Floor 2 - Conference Room
2025-09-01 10:45:00,LOBBY,23.65,47.35,727.0,Building B - Floor 1 - Lobby
2025-09-01 11:00:00,ROOM_101,23.0,42.85,794.0,Building A - Floor 1 - Room 101
2025-09-01 11:15:00,ROOM_102,23.38,40.0,779.0,Building A - Floor 1 - Room 102
2025-09-01 11:30:00,CONF_ROOM,23.51,40.0,804.0,Building A - Floor 2 - Conference Room
2025-09-01 11:45:00,LOBBY,24.27,42.67,791.0,Building B - Floor 1 - Lobby
2025-09-01 12:00:00,ROOM_101,23.73,45.53,812.0,Building A - Floor 1 - Room 101
2025-09-01 12:15:00,ROOM_102,22.68,43.21,733.0,Building A - Floor 1 - Room 102
2025-09-01 12:30:00,CONF_ROOM,23.72,47.46,825.0,Building A - Floor 2 - Conference Room
2025-09-01 12:45:00,LOBBY,23.37,40.0,769.0,Building B - Floor 1 - Lobby
2025-09-01 13:00:00,ROOM_101,,,863.0,Building A - Floor 1 - Room 101
2025-09-01 13:15:00,ROOM_102,23.58,40.0,725.0,Building A - Floor 1 - Room 102
2025-09-01 13:30:00,CONF_ROOM,23.79,40.77,846.0,Building A - Floor 2 - Conference Room
2025-09-01 13:45:00,LOBBY,23.74,44.44,769.0,Building B - Floor 1 - Lobby
2025-09-01 14:00:00,ROOM_101,22.48,44.1,727.0,Building A - Floor 1 - Room 101
2025-09-01 14:15:00,ROOM_102,22.75,45.58,735.0,Building A - Floor 1 - Room 102
2025-09-01 14:30:00,CONF_ROOM,23.07,51.46,743.0,Building A - Floor 2 - Conference Room
2025-09-01 14:45:00,LOBBY,23.39,42.48,781.0,Building B - Floor 1 - Lobby
2025-09-01 15:00:00,ROOM_101,22.23,53.41,786.0,Building A - Floor 1 - Room 101
2025-09-01 15:15:00,ROOM_102,22.37,43.12,731.0,Building A - Floor 1 - Room 102
2025-09-01 15:30:00,CONF_ROOM,21.91,52.95,758.0,Building A - Floor 2 - Conference Room
2025-09-01 15:45:00,LOBBY,21.87,57.64,867.0,Building B - Floor 1 - Lobby
2025-09-01 16:00:00,ROOM_101,22.41,40.0,846.0,Building A - Floor 1 - Room 101
2025-09-01 16:15:00,ROOM_102,22.68,43.75,781.0,Building A - Floor 1 - Room 102
2025-09-01 16:30:00,CONF_ROOM,21.96,53.02,761.0,Building A - Floor 2 - Conference Room
2025-09-01 16:45:00,LOBBY,22.5,47.32,766.0,Building B - Floor 1 - Lobby
2025-09-01 17:00:00,ROOM_101,21.71,52.82,790.0,Building A - Floor 1 - Room 101
2025-09-01 17:15:00,ROOM_102,21.21,49.61,708.0,Building A - Floor 1 - Room 102
2025-09-01 17:30:00,CONF_ROOM,21.71,51.4,747.0,Building A - Floor 2 - Conference Room
2025-09-01 17:45:00,LOBBY,22.3,48.22,676.0,Building B - Floor 1 - Lobby
2025-09-01 18:00:00,ROOM_101,21.08,58.91,779.0,Building A - Floor 1 - Room 101
2025-09-01 18:15:00,ROOM_102,21.88,51.67,792.0,Building A - Floor 1 - Room 102
2025-09-01 18:30:00,CONF_ROOM,19.79,59.05,735.0,Building A - Floor 2 - Conference Room
2025-09-01 18:45:00,LOBBY,21.51,49.57,838.0,Building B - Floor 1 - Lobby
2025-09-01 19:00:00,ROOM_101,20.77,51.66,458.0,Building A - Floor 1 - Room 101
2025-09-01 19:15:00,ROOM_102,20.58,52.57,446.0,Building A - Floor 1 - Room 102
2025-09-01 19:30:00,CONF_ROOM,20.77,56.07,531.0,Building A - Floor 2 - Conference Room
2025-09-01 19:45:00,LOBBY,19.73,55.46,572.0,Building B - Floor 1 - Lobby
2025-09-01 20:00:00,ROOM_101,20.33,57.02,604.0,Building A - Floor 1 - Room 101
2025-09-01 20:15:00,ROOM_102,20.62,60.0,,Building A - Floor 1 - Room 102
2025-09-01 20:30:00,CONF_ROOM,21.18,57.09,573.0,Building A - Floor 2 - Conference Room
2025-09-01 20:45:00,LOBBY,20.18,54.44,518.0,Building B - Floor 1 - Lobby
2025-09-01 21:00:00,ROOM_101,19.86,60.0,511.0,Building A - Floor 1 - Room 101
2025-09-01 21:15:00,ROOM_102,20.01,54.59,564.0,Building A - Floor 1 - Room 102
2025-09-01 21:30:00,CONF_ROOM,20.72,44.08,552.0,Building A - Floor 2 - Conference Room
2025-09-01 21:45:00,LOBBY,20.43,50.19,441.0,Building B - Floor 1 - Lobby
2025-09-01 22:00:00,ROOM_101,19.94,47.51,593.0,Building A - Floor 1 - Room 101
2025-09-01 22:15:00,ROOM_102,20.46,53.38,589.0,Building A - Floor 1 - Room 102
2025-09-01 22:30:00,CONF_ROOM,20.25,55.93,488.0,Building A - Floor 2 - Conference Room
2025-09-01 22:45:00,LOBBY,20.68,60.0,539.0,Building B - Floor 1 - Lobby
2025-09-01 23:00:00,ROOM_101,19.91,58.6,544.0,Building A - Floor 1 - Room 101
2025-09-01 23:15:00,ROOM_102,20.1,55.24,533.0,Building A - Floor 1 - Room 102
2025-09-01 23:30:00,CONF_ROOM,20.07,60.0,492.0,Building A - Floor 2 - Conference Room
2025-09-01 23:45:00,LOBBY,19.53,47.18,486.0,Building B - Floor 1 - Lobby
2025-09-02 00:00:00,ROOM_101,20.59,55.88,518.0,Building A - Floor 1 - Room 101
2025-09-02 00:15:00,ROOM_102,20.57,58.62,578.0,Building A - Floor 1 - Room 102
2025-09-02 00:30:00,CONF_ROOM,20.44,47.81,547.0,Building A - Floor 2 - Conference Room
2025-09-02 00:45:00,LOBBY,20.32,60.0,501.0,Building B - Floor 1 - Lobby
